"","QRP1","QRP2","QRP3","QRP4","QRP5","QRP6","QRP7","QRP8","QRP9","QRP10","QRPgeneral"
"205","It should not be used but it will never be published, so everyone does it.","Much of research articles have a pile of data sets that have been measured and it is very common to present a variety of variables in one article, even though they do not answer / provide novel information on the precise study questions. Therefore, I would recommend selecting the variables meaningful for the research question and leave other variables even completely out of the articles - to possibly be included in other papers. This leaving out of data could be avoided by more careful study and sampling designs...","It seems just a tad dishonest.","Lying is not OK","It you are rounding off correctly, as  you presented in the example, I don't see any problem. P-values are again descriptive tools in our attempt to gain understanding. The are not design to show cause-effect relationships, which are at the center of our scientific inquire. ","Removal of outliers is always a thorny issue and there are justifications for doing so (and I have done it). However, these need to be based on a judgement of the quality of those data - usually this is the problem - such as poor readings from a machine and the fit of the model (never the p value). If outliers are excluded for reasons of model fit, this needs to be described in the Methods and Discussed.","It is risky, as the additional data may not support the first statistical tests.","People want to publish... / At the same time, sometimes you discover that what you had planned for was not the best.","This is dishonest.","This is fraud.",NA
"206","It should not be used, as it fails to inform about *all* aspects and results of a study. Current publication practices (space limitations, journals/editors lust for novelty and ""relevance"") mostly forbid exhaustive reporting non-significant results","Negatative results are still results. ","It seems like it would be more interesting if you hadn't predicted it, so it's not clear to me why someone would pretend they did predict it.","Makes no sense at all to do this","It´s inaccurateand unnecessary.","Removal of outliers is fine, but should be done based on some other criterion, not how it affects the significance of your test.","It is very reasonable to conduct pre-studies before collecting major data sets.. This is also often needed when student works (e.g. Masters Thesis) are further processed to scientific articles. ","Possibly if there is a good reason (e.g. wrong error structure) why the first analysis was suspect; but in that case, why not fit the correct model initially? I might change models if assumptions are not met, but not to meet arbitrary P thresholds. Although sometimes outlier analysis might fall into this category.","This is hard to avoid as there almost always are problems and issues with any method. There is also a big grey zone in what a researcher should reasonably be expected to know. ","This is fraud. I don't think anyone does this. ",NA
"207","It should only be used rarely if the journals would like to publishe negative results","Negative results are as important as significant ones ","It shapes the research conceptual framework a posteriori, instead of replacing the results within the framework of known state of the art.","many of us do exploratory analyses of data, not all of which make sense in the end, and not all of which","Just give the exact value then","remove outliers at the initial steps of analysis. Anything else is obfuscation of data.","It makes sense to redo an experiment/sampling with more replicates if you realize the power of your test is not sufficent to answer your question.","Presumably there is a statistical method that is best or optimal for a particular question.  If there is a change to a different technique from that originally used it should be because the new technique is actually more appropriate.","This is like falsifying data. Problems must be reported.","This is inappropriate and potentially an instance of research misconduct. ",NA
"208","It should only be used when the result is not among the core of the variables and the information is not useful to tell the story.","Negative results are important to document","It should be made clear that it was the result of an exploratory study","Many times it is necessary to do some exploratory tests on the data. Many of those test are discarded because they are inappropriate or do not correctly represent the data. Reporting every single test applied would be confusing and too long. We should however avoid reporting a viased set of models.","just report the value. P values are subjective to begin with.","Removing data outliers is fine as long as these data points can be effectively identified as outliers (real artifacts due to sampling errors or mistyping of values). However, this often is not possible, and by removing outliers we may be removing interesting data points. Although when I was learning to analyze data the removal of these data points was seen as normal among my colleagues and myself, nowadays I am more wary about that and try not to remove them unless it is unjustified. Particularly the data I generally work with is rather noisy, so I wouldn't know where to put the limit. I think a good practice is to use graphs that show individual values in addition to summary statistics. / That said, I do not think that systematic removal of extreme data points is necessarily bad (unless, of course, if this is done with the target to achieve a specific result), because if it is done properly it does not necessarily alter the conclusions extracted from the data (if the later is collected properly). This is, in fact, the basis of robust statistical methods.","It may make sense if your sampling size could be influencing the results for being too small","Problem: Only significant data can be published. ","This is not good practice because it hides unreliability in the results. I think researchers should be honest about the problems, but reviewers should not block publication unless these issues completely invalidate the results.","This is inexcusable. ",NA
"209","It shouldn't be used at all, but there is a high selection bias in scientific journals towards those studies that report statistically significant results, and that forces researchers to do some sort of filtering when reporting their results. ","Negative results are important too! If a covariate was included initially, there must have been some reason to think that it might be important. The result that it was not important is interesting!","It should be reported honestly as a result of exploration rather than an expected/predicted outcome.","Maybe not avoidable in analysis of survey. However I am award that you minimise the need correction for the test significiance ","Just use &lt; or &gt;","Removing data points is serious business, and I advise against it at all times, unless there is a very good reason for removing it (e.g. an error in the method for that data point)","It might be okay to do that and analyse all the data together if you report it and the readers lower their trust in your results accordingly. /  / It is excellent to do it if you analyse the second set of data independently, as a confirmation of your first result. That is a proper use of hypothesis-testing.","publishing pressure and other pressure probably drives this — changing approaches to find something significant","This is pretty common but no experiment is perfect, so constant self-criticism in a study wouldn't be overly helpful either.","This is inventing data. It is a fraud",NA
"210","It would be better if people always report studies where they obtained a negative result - they put the work into it and a lot of times the negative result is interesting because it rejects or challenges some debated ecological phenomenon.  However, these articles are not always 'popular' with peer-reviewers and the scientific community at large, so get put aside and that is unfortunate in my opinion.","negative results are informative","It should be used if it helps communicating the observation in a straightforward and clear way (hypothesis - test). This should not, and need not conflict with the statistical analysis (pseudo one tailed tests, ad-hoc priors etc.). So difficult to say how often it should be used / ","Model selection using information-theoretic approaches (e.g. AIC) that have model sets is more of an art than a science, with no clearly accepted approach to dealing with complex combinations of covariates that inflate model sets (>50 models).  So some shortcut is needed when model sets are large and sometimes this results in exploring covariate combinations that  are not reported.  ","Less stressed about this as exact p-values are not really that important. But wouldn't encourage it in any students as it runs against my philosophy of full transparency.","removing outliers during data pre-processing based on device malfunction or recorder error is totally legitimate. Additionally reporting subsetted data to explore whether there may be a sub-pattern to explain what you see in the whole data is also ok.  But removing data because it doesn't fit with your storyline is not cool.","It might be reliably used in some limited circumstances in which pre-planned steps are used in the analysis. I doubt many ecologists have resources to go and collect more data (in many cases), so I'd guess it is less prevalent.","Question is incomplete. One should attempt as many statistical methods as are applicable and practical, not settle on just one (and there are always more than one 'good' ways to analyze the data). /  / The question is whether researchers stop when something is significant only.","This is problematic, because most often real-world data typically brings with it more caveats than could ever be disclosed in the length of a single paper. Those caveats which have clear differential bias should always be disclosed, though it may not always be necessary to disclose caveats which relate to losses in precision without bias, or those which are generally accepted and well-known as typical of that field/methodology.","This is just cheating!",NA
"211","It would be great to have a free publishing venue for non-significant results. the problem is also identifying why they are NS. is it a good test? or did you mess up?  ","No include covariates that don't reach significant values is in general not a good practice, and kind of make up the statistics when the researcher have knowledge of the interaction of traits or variables he/she is working with.","It should be used sparingly","Most analyses in my experience are iterative -- its not always informative or useful to present every iteration of the data analyses experience, although the final set of analyses should always be accompanied by reproducible data and code","Limits accuracy of meta analyses, but journals sometimes specify the number of decimal places.","Removing outliers is sometimes justified.","it seems like this is a safe way to test a theory and then get more information to learn more (unless I'm missing something about this)","Rarely solely because it may be that an inappropriate technique was used initially or that the research were told of a more powerful technique after the initial analysis, such as being introduced to isotonic regression---in effect a one-tailed ANOVA, for ordered expectation---after results from a ""standard"" main effects ANOVA (which are always two tailed) was ""insignificant."" I doubt this happens often, and I doubt that many researchers truly fish in this way, chiefly because most have limited statistical tools in their toolbox.","This is related with the idea of relate not significance with failure. In fact, to report problems is very useful for the scientific community in order to avoid them in future studies. Again, I think that part of the problem is the acceptance of this kind of manuscripts in the scientific journals","This is just faking results",NA
"212","Journal won't publish not significant results. It would be helpful though, to other researchers that might otherwise conduct similar studies without knowing that it has already been done with no significant results. ","No opinion","It should not be used because it changes a study from exploratory to confirmatory, it's misleading to say the least. But I suspect it's often done, where results are put forward as hypothesis whichg are then confirmed / disproved based on data.","Most training and texts in statistics that I have used to understand data analysis often use ad hoc testing and model refinement; I am led to believe this is a viable way to use stats as a tool to understand data.","Loses information about what the P value is representing.","Resulting P value is biased.","It should be reported as a two stage research","really depends on the intention - improve the power of analysis - I would accept; - e.g. student uses Mann-Whitney test in thesis (p=0.07), supervisor can analyst data using e.g. Poisson distribution (p= 0.04)","This is simply bad practice. I see this commonly with 'standard' tests, where many researchers often do not seem to understand the model assumptions.  Often these tests are used in settings where the assumptions are breached.  That's ok, but only if the effects of breaking the assumptions is explored and reported.  It almost never is.","This is just wrong.",NA
"213","Journals and reviewers don't care about null results. Also they'll question whether its truly null or just underpowered. ","non-significan effects, be they co-variables or not, always deserve reporting. Disregarding in a multivariable model is one thing (parsimony rule) but not mentioning is not ok.","It should not be used because it is dishonest; it subtly bolsters belief in the finding by presenting it as a prediction instead of a discovery (which may be influenced by noise). Unfortunately, the commonness of this practice is reflective of how scientific culture has been shaped by poor statistical training. Reviewers and readers in ecology (and many other scientific fields) are largely trained in the null hypothesis statistical testing framework and are not receptive to exploratory data analysis; writers overstate their results and change the sequence in order to get published. I don't see a good solution to the broader problem, but ecology is fairly good at taking on board specific statistical critiques, so this problem may start to wane soon. ","mostly it should be used but doing so makes paper laborious","Luckily, I work with quantitative ecologists who don't let this happen, or I'm sure I would have done this before. In my opinion, it's best to present the p-value to the third decimal to avoid such short cuts","Results should be formally presented with and without outliers to confirm results are robust/resistent to influential datapoints.","It should be used more often, mostly in field experiment or field data, where results can change faster. The reinforcement of the results with extra data to confirm our results should be a most frequent practice, but it takes time, sometimes and extra year if you need to wait for the next field season, and sometimes academia don't have time for it. In other cases people is afraid that results will change with extra data... precisely for that, extra data should be good, but bad results are not as ""sexy"" as positive significant results.","Really, what should happen, is the analyses should be defined before the experiment is even run. ","This is tempting but I can't think of a justification for doing it.","this is scientific fraud.",NA
"214","Just to clarify: in my case (and in many other cases I believe) I still mean to write about these results (published in my thesis at least) but other studies got the priority as they had more potential impact... I think this practice ideally shouldn't be used the process of writing and publishing papers takes time and the pressure to publish ""high impact"" studies (especially in early career) makes other studies take the priority.","Non-significant covariates can be a distraction without changing meaning of reported results. The negative results are good for others to know about, but when space is at a premium in journals there is little alternative.","It should not be used because this is a form of outcome switching. But when writing papers, I have often received feedback from reviewers that the story does not work as an exploratory analysis, and the predictions should be included from the start. So to get these papers published, we are forced to pretend that this was the intention from the start. It is a practice that is not statistically sound (if you pretend that this is what you wanted from the start, and if you do multiple exploratory analyses, and only report the ones that showed something interesting), but that reviewers seem to want, to make a nicer story.","multiple testing without adjustig p-values","Make sense to approximate to the next value ","save time","It should be used to increase the power of the test. The power should always been informed.","Researchers should always use the best and most appropriate analysis for their type of data. There are rarely two equally good options for data analysis that will give different p-values, and the best and most appropriate analysis option should always be used (and preferably decided before the data are collected)","This is tough - people don't want to start criticising their own data/analysis because of the pressure to publish. There are no guidelines on what to report in stats in general and no-one is going to tell you to go all A-level student and start pointing out the problems with your work. So yes - it should be clear what issues might exist, but authors need support (from trainers, editors, peer-reviewers) before this could ever be expected to be common practice.","This is scientific misconduct.",NA
"215","Lack of significance can be due to various issues. Reporting a failed experiment, or an experiment which had so low a sample size that it is unlikely to find a signficant effect even if a real effect exists, does not help science. Non-significant tests should be reported, but only when they have sufficient rigour, sample size and estimated power that the negative result is convincing.","Not desirable but sometimes one has checked that no inferences are affected for the covariates of interest and there is a word limit to deal with","It should not be used because we all understand that the scientific process is very unpredictable and that is itself exciting. I believe the justification that is used for this is often that it makes the paper more of a ""story"" or ""flow"" better, but it really has been counter productive in this regard. Another problem of our own creation.","Multiple tests are almost always done and reporting the entire process would make articles difficult to read and write.","Makes little difference to conclusions","See earlier responses.","It should be used whenever it is possible to get additional data...there is nothing a priori wrong about using more data if there is an opportunity to do so.  ","See earlier responses.","This is very hard to estimate how frequent, but definitely the most killing action of good research. This is scientific misconduct and should be absolutely banished.","This is simply making up data - obviously very bad practice!",NA
"216","Leads to systematic bias overall. ","Not reporting a negative result is depriving the scientific community of evidence for a lack of effect. It is an important result, but, unfortunately, it is not a result that appeals to general audiences, usually being devalued by reviewers and editors, increasing the chances of a study to be rejected for publication. Some situations where I have used this practice, and when I believe it is not a problem, is at an exploratory stage, where one has more than one proxy for a specific concept which I view simply as a methodological adjustment for such proxy.","It should not be used since it will give different weight if it was expected beforehand. When unexpected, it is clear that it should be checked before believed that it was something else than co-incidence.","Multiple tests invalidate p-values. Its fine if you report it as exploratory or acknowledge all the tests (at which point reviewers will ask for multiple comparisons corrections).","Manipulation of data is inexcusable. You can always report the results as ""almost significant""","Seems rather dodgy to hold out some of your dataset to achieve a result or vice-versa.","It should never be used because if the study was well designed then you may waste your time and effort looking for something that is not going to happen","See previous answers on other types of p-hacking.","this is what I said two question behind...","This is simply making up data and pretending it was actually observed",NA
"217","Like with the last question, sometimes there is only time or space to write up a given number of topics in a manuscript.","Not reporting all covariates that were used within a single model misrepresents the results of that model. Insignificant covariates within a model are as powerful at explaining to outcome as significant ones.","It shouldn't be used because it is an editorial practice rather than a scientific test. ","My feeling is that a bunch of investigative stuff is done. I mean what about the ""conceptual modeling"" i.e., thinking about what's going on? should we report all of that, too? /  / A qualifying statement that these are thr best models -- we looked at others and discarded them....","Many journals only allow p values to be presented to a certain number of decimal places. Therefore whenever I see a p-value of 0.05, I automatically presume that it could be up to 0.054 and would hope that other scientists would do the same. As p = 0.05 is only on the threshold of significance anyway I would not count it as a particularly strong result. ","Shouldn't be done unless you're trying to get fired.","It would be nice to have the resources to collect more data, usually this is not an option. ","See previous answers.","This make reproducing the results almost impossible and should be avoided at all costs.  Having struggled to recreate results from previous analyses by other workers I find this most annoying.","This is straight-up deception.",NA
"218","Many preliminary studies have extremely low statistical power, or it becomes clear that there are methodological issues that cause the results to be unreliable. These studies are highly inconclusive - it serves no purpose, even from the point of view of meta-analysis, to publish them.","Not reporting covariates that fail to reach statistical significance misrepresents studies.","It shouldn't, but because we are not machines unexpected results get you thinking, and get less and less unexpected as you work on. Eventually, there's support from more than one angle and you start believing in it.","My guess is most researchers do this as 'exploratory' analysis and don't think that these 'exploratory' models need to be reported.  But really this shouldn't be done because it is clearly an unintentional form of p-hacking. ","Mispractice. You must always report the true p value obtained.","Simply report the outliers, and present the results with and without. ","Its a bias, yes. But the nature of ecological experiments often results in small samples sizes per cohort/block. If one sees a possible effect size, and can demonstrate that that effect size would satisfy a significance threshold if it remained robust with more replicates, then I think this is justifiable. Blinding is essential for further data collection.","Seems reasonable if you're asking a slightly different question, or if it helps you realise you're doing the wrong thing.","This may be the most important comment I give when reviewing papers. Everything that can impact conclusion should be discussed.","This is terrible. ",NA
"219","Negative result is an important finding. But papers reporting only negative results should have low impact, which makes me feel it is not cost-effective to write the paper reporting the result. This can cause publication bias, which is a serious problem.","not sure what the difference between this and the previous question is","It sometimes goes better with the flow of the writing. I honestly don't care about this one.","Nearly all data (especially data from experiments that have multiple factors and their interactions) can be tested in several ways (which usually all give more or less the same end result). Of course you can try what ever you want with your data, as in the end it leads to most meaningful way to represent you results.","Most statistics are rounded. Rounding correctly and using an equal sign (but not a ""&lt;"" !) is not incorrect. However, providing only one decimal place in the example is misleading.","Slippery slope.  Shouldn't do it. In my case, the only time I did this is because it greatly influenced the form of the function at the upper limit of the range of the data.  Upon, inspecting these points more closely (data were not collected by me), I realized that these, in fact, differed from all other data points in how they were collected (response wasn't counted, rather estimated because there were too many to count).","Its worth knowing how promising a hypothesis is before investing too much in it","Shopping around until one finds the ""desired"" result. I guess this is less common becasue ecologists often have a somewhat limited selection of statistical methods available to them.","this maybe has short-term benefit for an individual, but really hurts science as a whole","This is total unethical and should be always avoided.",NA
"220","Negative results are also interesting and important and should be published/reported. Meta-analyses and reviews will be biased if only significant results are published.","Not sure: what if you did not see that there was a covariate, because you did not even think of testing it?","It sometimes happens, that you have collected data originally for some other purposes and find out later (i.e. you learn something new on your way!) that with that data you can answer to many other questions as well. I don't understand why you should not then utilize the data and write a paper with proper hypothesis (i.e. those that you ""learned"" while you did your research)?","need to qualify this - you should not run loads of analyses and then cherry pick which ones are interesting (at least not in a frequentist hypothesis testing sense), but considering alternative formulations of complex statistical model when the aim is to optimise fit or generate predictions (as opposed to finding P values) is essential.  /  / So whether it should/shouldn't be used depends on context, bets practices for effect size estimation and model prediction vs ""finding a  P value"" can be different  ","My opinion is that p-values are a gradient of strength of evidence, rather than as clear cutoffs. So I as much difference between P=0.051 and P=0.049. ","So long as both results are presented, this is not a problem. In some cases researchers might be concerned with whether or not a single datapoint or small number of datapoints are driving a pattern (or causing a lack of pattern). If the two sets of results are both reported, and the procedure for including or excluding the datapoints made clear, then readers can make their own minds up about the patterns. If the datapoints excluded are not mentioned at all in the papers, then this is clearly very bad, and should not be done.","Larger sample sizes are always better, and in some cases make the P value increase.  What would be wrong is to stop collecting data when p reaches 0.05","Should almost never use null hypothesis testing of any kind. Science is about measuring the actual magnitudes of meaningful parameters, not yes/no questions about an imaginary null hypothesis that can always be falsified if we are willing to throw enough sampling effort at it.","This often isn't done in a vindictive manner, but in short word count papers with large multisite studies you tend to go into the individual wrinkles of each site.  There is normally one site in one year that missed the target cut date for a grassland by a week or something like that.  In the grand scale of things minor normal stuff, but on the whole I would not expect most people to write all of that in a paper.  Major screw ups should be mentioned, but the rest ends up as unexplained variance.","This is very bad practise, since it misrepresents the results",NA
"221","Negative results are important and should be reported. Only non relevant data should be omitted.","Not used because this is essentially fishing for results. You will get high false positive error rates.","it violates the scientific method AND it leads to boring papers ( no surprises)","No opinion","no idea how many times occurs but I believe this is close to unethical behavior. close to threshold significant values are in practice unsupported ideas","Some outliers can be explained and may therefore be excluded.","Less so perhaps in ecology, but there are occasions still where resources demand small sample sizes that only justify follow up if the results look promising. The question makes this sound more insidious than it is pragmatic.","Should be used only if the initial analysis is not appropriate (but then it should not have been attempted, I guess!)","This practice is a bit more ambiguous than the previous ones, so it is harder to condemn it outright. In particular, ""problems with the data quality"" is vague.","This might happen in modeling studies, but I think most researchers understand the importance of clearly indicating simulated vs. observed data.",NA
"222","Negative results are just as important as significant results","Not using this practice enables to have a better idea of the number of variables tested for and would be very helpful for meta-analytical approaches.","It will be a promising way.","Not a great practice, but inevitable if one is exploring a complex field dataset","no loss of information since it is really just an estimate","Sometimes it makes sense to exclude an influential outlier or two from an analysis - with full disclosure that this was done in the manuscript.  Sometimes characterizing a population is most informative if you're not trying to also explain a few odd-ball data points with the same model assuming central tendency.","Limited statistical power is a perpetual issue in ecology and evolution, and lack of power increases the frequency of erroneous conclusions in the literature. Increasing sample sizes after analyzing results from a pilot experiment or mid-way through data collection (e.g. with a power analysis) can allow researchers to select a more appropriate sample size that will improve their power, and thereby increase the reliability of their results.","should be used when the assumptions of the test were not met","This practice is dishonest and borders on research misconduct. it should never be used (though I fear it is reasonably common). ","This should get you fired",NA
"223","Negative results are often useful, and sometimes it can be useful to report a dead end to keep someone else from wasting time on it.  However, most of us do a fair bit of exploratory data analysis and preliminary tests. In many cases it does not (due to significance tests and any number of other factors) lead us where we want to go, so we don't try to publish the results. There are already too many worthwhile papers to read, and too many poor ones published--we should not encourage publication of each & every test & exploration!","Null results just muddy the model. Also, they'll question whether its truly non-significant or just underpowered. ","It would require also to report on the what or why you were exploring, which is not necessarily useful information. Also it could make the introduction and discussion section less to the point.","Not all candidate models are adapted to all datasets, so it can happen sometimes, but should be argumented","no need to do this, as p&lt;0.05 is an arbitrary value anyway... And people slowly realize that the p-value doesn't really matter all that much.","sometimes one learns that statistical significance may be due to outliers. Excluding these may give more reliable results.","Many data are rather hard to collect and we are used, especially in field work and in experiments with animals, to conduct small-scale data collection and, if these trials are conclusive (ie if the protocol seems feasible at a larger scale and / or if small datasets already show some trends), to expand the study to gather sufficient data for appropriate statistical analysis, or to include more treatment modalities.","Should decide on statistical analysis before examining results.","This practice should never be used as it is contrary to the scientific method and can account for the range of variation seen across some types of scientific studies, e.g. behavioural ecology in particular. It has led to this field having a bad reputation across the sciences. ","This would be data forging. ",NA
"224","Negative results are still important information to the field.  However, often it is difficult to get this type of result published. ","often used to control the response variable, I see no sense in not reporting that we try to account for covariables, unless the quality of the data is not enough good","its dishonest","Not all models are appropriate. Realistically, researchers must always choose what parts of the research process make it into a paper. If the paper is not on development of a model, it may not be needed to report other models.","No opinion. I'm not super attached to p-values","Sometimes these points car be error but this need to be checked really carefully. Points need to be removed only for a good biological reason.","Many studies are under-powered. I have collected more data when a marginal result has been obtained to determine one way or the other.","Should not be done as a reaction to P value, but as written this question does not say that. Sometimes one realizes that a GLM does not fit well, changes distribution and link, gets a better fit, P value changes. Nothing wrong there, just a consequence of testing GOF","This practice should not be used simply because it is fraudulous... If scientifics loose their reputation because of such practices, then science looses it reputation too... Then we would all be as reliable and accountable as astrologists...","This would be fraudulent. / ",NA
"225","Negative results are still relevant results","Omit covariates hiddes important information","its not honest.  i think it gets used as it makes a more concise story some times (and the obvious no one likes to be wrong).  but its not the worst offense, just a bit unneccesarily ego-boosting","Not being honest about the full extent of tests is misleading and undermines credibility. There is no need to present all the results, but we should describe in broad terms what has been tested.","Not a big deal--rounding is rounding, and significance levels are arbitrary anyway. I chose ""occasionally"" because, though I cannot recall doing it, I may well have. ","Sometimes, outliers skew your data and may not reflect the statistical norm.","maybe if ethics/permits didnt allow you to use more animals - then you get more permits later?","Should only be used if other test is valid. Preferentially, both test results should be reported.","this seems ethically inappropriate","This would be misguiding and constitute in my opinion fabrication of fake data. As I mentioned before the data must be presented non-manipulated to let the results be re-analysed by others",NA
"226","Negative results are still results that can in some cases help advance the field. ","One should state that one tested for them and might consider to exclude them from the final model.","Journals almost require it, but it makes nonsense of 'a priori' hypothesis testing. ","Not reporting all models considered bogs down researchers in debates about which model is best rather than focusing on ecological relevance or outcomes. / ","Nothing bothers me more than seeing extreme precision in estimates. It is also preferable to reader to not be interrupted by 3498459856 decimals every time there is a statistic reported in the text","That's bad practice and misleading - there might be reasons to exclude data points BUT the p value is certainly not a reason at all","More data = more statistical power. Generally can't go back though.","Should only be used when the newer model is a better fitting model for the data, as assessed via model comparison techniques (i.e. not by comparing p-values of variables of interest). Otherwise, it is bad practise","This seems like fraud.  I see this as different than describing problems and then using an approximate statistical test.  I guess that is disclosure.  ","This would be misleading. This should never be done.",NA
"227","Negative results can also advance science and should be reported.","Only covariates that were relevant to the hypothesis of interest should be explained the main text. However, I do think that all covariates should be explained in the supplementary material.","Just use question or objective based design! I do not understand why there must be an explicitly based hypothesis. Studies which attempt to answer a question one way or another are much more useful. Also, if your hypothesis was correct, who cares? The results are what is interesting.","Not sure about the phrasing of c above (a neutral option would be better, in 'it doesn't matter if its done'), my belief is that in practice very rarely is the first model you try the one you end up with.  For various reasons you think of every other parameters, you reconsider you random effects structure, you alter your error term to reflect residual plots.  If you reported every model you ever did a paper would be fucking awful to read.  ","Number of significant figures of statistical outputs should be specified a priori, consistent throughout a paper (or even set by the journal guidelines)","That is scientific fraud","More data can help to more clearly confirm (or reject) a relationship.  The collection of additional datra should be reported.","Similar answer to some of the previous approaches. The result of the first analysis can lead you to re-appraise whether it was the best analysis after all. You need a bit of an internal honesty check though before you take the next step...","This should not be done because it is dishonest.","this would be serious cheating/fabricating data if that was done!",NA
"228","Negative results can be interesting sometimes. Researchers are certainly able to decide when it is the case. They should also be able to publish them more easily.","Only where a researcher may have done some initial, exploratory analyses and looked at lots and lots of potential explanatory variables, many of which may be correlated anyway (multicollinearity), and where it would make no sense to report literally all variables that were explored early on. Statistical significance PER SE should not be the reason to drop some in the final reporting (which necessarily may have to be brief), but a combination of it with common sense. Sometimes you can't  include everything - the reader does not necessarily have to see all test results carried out over a study's lifespan. A balance has to be struck between what you include, and don't include, in the final version of a paper.","Let's face it, science is messy and if you never reframed a manuscript following a confusing and contradictory analysis, you're probably missing the story in at least SOME of your data. ","Not sure if I'm interpreting this correctly - I will often fit a range of models of different forms as I'm exploring the data. But reporting only a subset of nested models as if it is the complete set seems wrong to me.","Obviously rounding down 0.054 to 0.05 then reporting as significant would be sloppy.","That is unfair","More data is generally good - just that my data doesn't tend to be analysed until all field work is complete, so I can't do this. ","Similar to determining a priori the hypotheses to be tested, the analytical tool (i.e., software, package, test) should be determined at the planning stage of a project. Even if the test has to be learned during the process, it is something that definitely should be decided before implementing and checking the results. ","This should not be used, but there is space limit in everything, and journals want happy faces in their twitter accounts, not sad faces.","This would decrease the reproducibility and the reliability of the conclusions.",NA
"229","Negative results can be just as informative as their positive counterparts. It is important to thoroughly report the results of all tests performed, though I imagine this doesn't happen frequently, if only for brevity's sake.","p values for covariates in model outputs are not very meaningful. The presented relationship between the dependent and independent variables is wrong if not all variables are provided","Making sense of ecological data is a messy process, and I thus believe that exploratory data analysis is very important. I think that the research process should be clearly reported, but believe that authors are sometimes punished by reviewers for such honesty - in following academic writing conventions, we all construct ""clean"" stories of our research process and findings.","Not sure what 'set' would be. I've defined it as any rejected model, even through model selection.","Occasionaly (in the past, not recently) journals restricted reported p-values to what used to be tabled values (0.05, 0.01, 0.005, 0.001, etc). Journals would round at copy-editing. With modern computer generated p-values, it should never happen. It is a hold-over from the days (30 years ago?) where you looked up p-values. Journals are just slow to change. ","That should not be the criterion for removing a data point.  It amounts to biasing the data set to get a desired result, corrupting any interpretation.","More data should be collected to strengthen the conclusions. Given time and financial constraints, some experiments have to be focused on important variables based on preliminary work.","So long as the second model is theoretically a better model of the process I don't see a problem. In the review process reviewers often point out better ways to analyze the data that the researcher didn't initially of. ","This sort of information should always be disclosed, it affects the impact of the results","totally dishonest and faking!",NA
"230","negative results can be very informative, but only when the negative result has a reasonable explanation other than poor design/low power. nevertheless, poor design/low power is something that should be reported in scientific papers to help other researchers in the future know how to design better studies. ","Papers cannot be long lists of unimportant variables. Sometimes, to focus the story, unimportant pieces of the story need to be left behind.","Many studies in Ecology are exploratory. This practice helps to make the text easier to follow, although I agree that this may introduce some bias.","Obviously best practice is to report all tested models.  However, I feel that there are a few situations where it is acceptable to omit some models to avoid cumbersome reporting: / --When a previously unappreciated line of a priori reasoning makes it clear that some models aren't reasonable (e.g. a colleague provides friendly peer review and points out that the candidate set included models with interaction terms and no main effects) / --When initial simple models are run primarily to ensure code is working properly, prior to running more complicated models / --When simplistic models are run for quality control purposes--i.e. to ensure that the data don't say anything ridiculous--before running a set of more realistic, complex models.","Of course it should not! P-values are supposed to be inferior to a certain threshold. ","The best thing to do is inspect your data ahead of time and look for outliers. Check if there are any reasons why those points could be legitimately excluded (e.g., forgot to water that pot).  /  / That is when I discard points, if I do.  /  / I have reported results with and without unusual points in which the unusual point removed significance. ","More data would almost always be better.  Most grad students are required to collect ""preliminary data"" thus, their will alway go back to get more if p &lt; 0.05.  I think is may is especially important to collect more data when p &gt; 0.05 in a preliminary (i.e., low power) situation.  ","Some analyses are not suitable for given datasets but this is recognised late, possibly only after visualisation.","This strikes me as purely dishonest, and is distinct from the other questions in that there is no defensible reason other than self promotion that you could do this. I've listed long tallies of problems and known that it would knock it ""down"" a journal, but that's fine by me. ","totally fraudulent",NA
